repetitions,monitoring_software,sampling_period,metrics,time,Mops,nb_nodes
2,Likwid,10,"_",29.43,123793.30,16
8,Likwid,100,"_",22.10,164803.13,16
18,Likwid,1,"_",28.92,125978.54,16
17,Likwid,1000,"_",20.46,178026.26,16
21,Likwid,100,"_",22.05,165230.37,16
28,Likwid,100,"_",22.31,163268.04,16
11,Likwid,100,"_",22.14,164532.29,16
25,Likwid,10,"_",29.09,125243.83,16
17,Likwid,100,"_",22.23,163883.10,16
5,Likwid,1000,"_",20.42,178419.31,16
16,Likwid,100,"_",22.43,162431.81,16
1,Likwid,1,"_",29.70,122668.62,16
0,Likwid,1000,"_",20.43,178268.93,16
24,Likwid,1000,"_",20.05,181679.10,16
13,Likwid,10,"_",29.47,123612.71,16
20,Likwid,1,"_",29.02,125520.19,16
3,Likwid,1,"_",29.58,123168.28,16
5,Likwid,100,"_",24.16,150766.75,16
27,Likwid,1,"_",29.78,122337.78,16
19,Likwid,1000,"_",20.39,178656.00,16
14,Likwid,1,"_",29.20,124748.90,16
15,Likwid,10,"_",29.43,123788.49,16
0,Likwid,100,"_",22.34,163056.69,16
26,Likwid,10,"_",29.92,121736.17,16
9,Likwid,10,"_",29.24,124597.93,16
24,Likwid,100,"_",22.31,163307.75,16
9,Likwid,1,"_",30.22,120558.69,16
7,Likwid,100,"_",22.28,163497.87,16
8,Likwid,1,"_",29.65,122862.85,16
22,Likwid,1000,"_",20.02,181981.83,16
21,Likwid,10,"_",29.21,124723.21,16
28,Likwid,10,"_",29.24,124595.53,16
28,Likwid,1,"_",29.51,123428.81,16
11,Likwid,1,"_",29.66,122804.64,16
10,Likwid,100,"_",22.74,160196.00,16
4,Likwid,1,"_",29.07,125323.06,16
22,Likwid,100,"_",24.10,151172.24,16
17,Likwid,10,"_",29.26,124509.94,16
29,Likwid,100,"_",23.27,156551.15,16
16,Likwid,10,"_",29.49,123533.40,16
23,Likwid,1,"_",29.05,125404.05,16
6,Likwid,1,"_",29.87,121942.80,16
18,Likwid,100,"_",22.54,161585.57,16
5,Likwid,10,"_",29.96,121609.15,16
12,Likwid,1,"_",29.57,123213.79,16
1,Likwid,1000,"_",19.82,183813.82,16
0,Likwid,10,"_",29.40,123913.25,16
24,Likwid,10,"_",29.51,123429.38,16
