repetitions,monitoring_software,sampling_period,metrics,time,Mops,nb_nodes
7,Likwid,10,"_",29.19,124788.77,16
20,Likwid,1000,"_",20.52,177532.84,16
3,Likwid,1000,"_",20.14,180836.07,16
19,Likwid,10,"_",30.01,121388.63,16
14,Likwid,1000,"_",20.63,176606.29,16
1,Likwid,100,"_",22.14,164539.29,16
10,Likwid,1,"_",29.47,123616.95,16
26,Likwid,1000,"_",20.45,178174.81,16
9,Likwid,1000,"_",20.46,178045.83,16
20,Likwid,100,"_",22.26,163620.03,16
8,Likwid,1000,"_",20.12,181019.06,16
3,Likwid,100,"_",22.12,164659.05,16
22,Likwid,10,"_",29.42,123819.00,16
29,Likwid,1,"_",29.41,123850.01,16
14,Likwid,100,"_",22.45,162300.07,16
29,Likwid,10,"_",29.60,123087.23,16
2,Likwid,1,"_",29.41,123860.74,16
27,Likwid,100,"_",22.55,161517.42,16
28,Likwid,1000,"_",20.75,175574.95,16
11,Likwid,1000,"_",19.94,182686.15,16
18,Likwid,10,"_",29.11,125155.85,16
4,Likwid,1000,"_",19.81,183878.67,16
25,Likwid,1,"_",30.04,121264.68,16
16,Likwid,1000,"_",20.54,177341.18,16
23,Likwid,1000,"_",23.50,155043.11,16
6,Likwid,1000,"_",20.63,176601.60,16
4,Likwid,100,"_",22.26,163649.41,16
13,Likwid,1,"_",29.87,121959.83,16
12,Likwid,1000,"_",20.19,180393.85,16
1,Likwid,10,"_",29.10,125173.94,16
23,Likwid,100,"_",22.20,164095.05,16
6,Likwid,100,"_",22.34,163099.21,16
15,Likwid,1,"_",30.46,119596.94,16
7,Likwid,1000,"_",20.22,180176.57,16
20,Likwid,10,"_",29.09,125237.94,16
3,Likwid,10,"_",29.68,122740.79,16
26,Likwid,1,"_",29.35,124119.47,16
27,Likwid,10,"_",29.23,124621.90,16
12,Likwid,100,"_",22.58,161359.95,16
14,Likwid,10,"_",29.43,123769.99,16
19,Likwid,100,"_",22.43,162395.97,16
21,Likwid,1,"_",29.37,124035.57,16
10,Likwid,1000,"_",20.49,177775.29,16
8,Likwid,10,"_",29.42,123842.06,16
2,Likwid,1000,"_",19.78,184150.52,16
29,Likwid,1000,"_",20.02,181974.24,16
11,Likwid,10,"_",29.42,123816.82,16
17,Likwid,1,"_",30.26,120400.59,16
16,Likwid,1,"_",29.09,125225.17,16
4,Likwid,10,"_",29.33,124208.66,16
2,Likwid,100,"_",22.63,160974.32,16
18,Likwid,1000,"_",23.37,155853.96,16
25,Likwid,1000,"_",20.26,179774.07,16
5,Likwid,1,"_",30.41,119801.17,16
23,Likwid,10,"_",29.22,124663.21,16
6,Likwid,10,"_",29.35,124136.09,16
0,Likwid,1,"_",29.40,123895.02,16
24,Likwid,1,"_",29.46,123675.91,16
25,Likwid,100,"_",22.36,162916.98,16
13,Likwid,1000,"_",20.67,176259.37,16
7,Likwid,1,"_",29.36,124091.08,16
12,Likwid,10,"_",29.30,124339.80,16
19,Likwid,1,"_",29.85,122047.48,16
15,Likwid,1000,"_",20.23,180037.97,16
13,Likwid,100,"_",22.33,163121.14,16
27,Likwid,1000,"_",20.07,181519.88,16
22,Likwid,1,"_",29.33,124191.66,16
21,Likwid,1000,"_",20.29,179521.36,16
10,Likwid,10,"_",29.69,122680.42,16
15,Likwid,100,"_",23.09,157741.23,16
26,Likwid,100,"_",23.25,156675.38,16
9,Likwid,100,"_",22.24,163794.54,16
