repetitions,monitoring_software,sampling_period,metrics,time,Mops,nb_nodes
4,Likwid,1000,"_",42.33,86061.77,8
25,Likwid,10,"_",75.32,48362.84,8
8,Likwid,10,"_",74.92,48625.05,8
27,Likwid,100,"_",49.45,73667.14,8
14,Likwid,1,"_",75.30,48375.33,8
7,Likwid,1000,"_",43.15,84422.43,8
6,Likwid,1000,"_",42.64,85429.32,8
27,Likwid,10,"_",73.89,49301.09,8
13,Likwid,1000,"_",43.11,84493.02,8
0,Likwid,1000,"_",43.92,82942.36,8
24,Likwid,1,"_",72.57,50199.96,8
10,Likwid,100,"_",48.10,75742.46,8
19,Likwid,1000,"_",43.22,84278.28,8
17,Likwid,100,"_",47.92,76020.97,8
2,Likwid,1000,"_",43.49,83763.52,8
10,Likwid,10,"_",73.82,49350.29,8
16,Likwid,100,"_",47.74,76310.32,8
17,Likwid,10,"_",73.34,49674.76,8
23,Likwid,100,"_",48.53,75067.32,8
25,Likwid,1,"_",72.38,50333.05,8
8,Likwid,1,"_",71.56,50904.80,8
15,Likwid,1,"_",71.78,50750.90,8
18,Likwid,100,"_",45.49,80089.36,8
1,Likwid,100,"_",48.63,74905.66,8
24,Likwid,1000,"_",43.60,83552.99,8
23,Likwid,10,"_",74.03,49210.64,8
27,Likwid,1,"_",72.59,50183.16,8
21,Likwid,1,"_",71.53,50929.31,8
20,Likwid,1,"_",73.36,49654.71,8
3,Likwid,1,"_",74.37,48984.74,8
1,Likwid,10,"_",71.76,50768.50,8
6,Likwid,100,"_",48.11,75716.82,8
13,Likwid,100,"_",46.96,77566.67,8
0,Likwid,100,"_",47.38,76885.00,8
8,Likwid,1000,"_",42.83,85050.99,8
5,Likwid,1,"_",73.16,49794.91,8
15,Likwid,1000,"_",43.46,83817.91,8
22,Likwid,1,"_",73.10,49836.65,8
13,Likwid,10,"_",72.20,50454.67,8
17,Likwid,1,"_",73.30,49701.80,8
27,Likwid,1000,"_",43.52,83705.63,8
2,Likwid,100,"_",47.88,76088.16,8
0,Likwid,10,"_",72.94,49943.04,8
19,Likwid,100,"_",48.46,75177.00,8
28,Likwid,1,"_",71.83,50714.81,8
11,Likwid,1,"_",74.21,49085.79,8
21,Likwid,1000,"_",43.12,84490.16,8
20,Likwid,1000,"_",43.04,84634.86,8
3,Likwid,1000,"_",43.10,84526.37,8
19,Likwid,10,"_",74.39,48971.48,8
2,Likwid,10,"_",71.09,51245.61,8
22,Likwid,1000,"_",43.16,84409.29,8
5,Likwid,1000,"_",42.97,84771.40,8
24,Likwid,100,"_",45.63,79827.80,8
17,Likwid,1000,"_",43.18,84358.67,8
28,Likwid,1000,"_",43.28,84173.93,8
11,Likwid,1000,"_",43.63,83497.46,8
24,Likwid,10,"_",74.05,49193.71,8
8,Likwid,100,"_",46.66,78080.58,8
15,Likwid,100,"_",48.33,75371.96,8
9,Likwid,1,"_",72.43,50298.30,8
26,Likwid,1000,"_",43.17,84392.59,8
15,Likwid,10,"_",72.97,49926.15,8
21,Likwid,100,"_",47.86,76121.52,8
20,Likwid,100,"_",46.90,77667.54,8
3,Likwid,100,"_",49.06,74256.31,8
29,Likwid,1,"_",73.28,49710.65,8
12,Likwid,1,"_",73.63,49473.70,8
21,Likwid,10,"_",72.04,50570.20,8
22,Likwid,100,"_",48.84,74586.98,8
14,Likwid,1000,"_",44.29,82259.42,8
5,Likwid,100,"_",48.29,75442.19,8
3,Likwid,10,"_",74.31,49024.17,8
20,Likwid,10,"_",74.66,48791.26,8
9,Likwid,1000,"_",42.76,85184.17,8
28,Likwid,100,"_",47.80,76216.01,8
11,Likwid,100,"_",47.94,75991.98,8
22,Likwid,10,"_",72.72,50097.01,8
5,Likwid,10,"_",72.38,50332.70,8
16,Likwid,10,"_",73.88,49310.95,8
4,Likwid,100,"_",48.26,75491.38,8
29,Likwid,1000,"_",43.49,83769.13,8
12,Likwid,1000,"_",42.86,84992.35,8
28,Likwid,10,"_",74.04,49202.11,8
11,Likwid,10,"_",74.50,48896.05,8
18,Likwid,10,"_",72.74,50083.47,8
7,Likwid,100,"_",47.75,76295.33,8
4,Likwid,10,"_",72.57,50197.65,8
25,Likwid,1000,"_",43.32,84100.93,8
26,Likwid,100,"_",49.22,74017.31,8
7,Likwid,10,"_",74.08,49173.26,8
10,Likwid,1,"_",75.76,48082.80,8
6,Likwid,10,"_",72.87,49993.08,8
26,Likwid,10,"_",71.54,50922.74,8
14,Likwid,100,"_",48.42,75228.51,8
16,Likwid,1,"_",73.40,49628.27,8
23,Likwid,1,"_",72.37,50336.33,8
9,Likwid,100,"_",49.08,74219.52,8
14,Likwid,10,"_",74.94,48611.54,8
18,Likwid,1,"_",71.34,51066.38,8
1,Likwid,1,"_",74.03,49210.86,8
4,Likwid,1,"_",73.36,49658.53,8
10,Likwid,1000,"_",43.16,84412.18,8
9,Likwid,10,"_",75.18,48457.29,8
29,Likwid,100,"_",48.50,75110.94,8
12,Likwid,100,"_",47.96,75952.75,8
7,Likwid,1,"_",74.66,48791.40,8
6,Likwid,1,"_",72.99,49912.33,8
16,Likwid,1000,"_",43.27,84183.12,8
13,Likwid,1,"_",71.68,50824.84,8
23,Likwid,1000,"_",43.15,84425.14,8
29,Likwid,10,"_",73.28,49712.29,8
12,Likwid,10,"_",73.13,49810.93,8
26,Likwid,1,"_",74.95,48607.34,8
25,Likwid,100,"_",47.61,76508.40,8
0,Likwid,1,"_",72.92,49956.90,8
18,Likwid,1000,"_",44.42,82013.73,8
1,Likwid,1000,"_",44.20,82412.44,8
19,Likwid,1,"_",74.12,49150.80,8
2,Likwid,1,"_",72.96,49932.91,8
