repetitions,type_colmet,sampling_period,metrics,time,Mops,nb_nodes
21,Without,-1,"_",64.27,56681.23,4
25,Without,-1,"_",67.07,54318.00,4
19,Without,-1,"_",65.92,55259.46,4
12,Without,-1,"_",65.29,55797.71,4
18,Without,-1,"_",67.13,54266.54,4
16,Without,-1,"_",66.72,54603.43,4
3,Without,-1,"_",68.84,52915.83,4
10,Without,-1,"_",65.43,55675.11,4
9,Without,-1,"_",66.65,54657.84,4
27,Without,-1,"_",65.32,55771.44,4
7,Without,-1,"_",64.96,56080.60,4
20,Without,-1,"_",65.32,55773.80,4
26,Without,-1,"_",65.98,55214.35,4
23,Without,-1,"_",65.87,55301.30,4
24,Without,-1,"_",66.18,55041.62,4
14,Without,-1,"_",65.30,55786.68,4
0,Without,-1,"_",64.80,56214.07,4
17,Without,-1,"_",65.85,55320.75,4
2,Without,-1,"_",66.98,54385.26,4
6,Without,-1,"_",68.49,53189.61,4
15,Without,-1,"_",65.54,55583.70,4
29,Without,-1,"_",65.80,55367.13,4
22,Without,-1,"_",66.73,54594.97,4
11,Without,-1,"_",66.39,54872.55,4
8,Without,-1,"_",65.81,55357.64,4
4,Without,-1,"_",65.64,55500.75,4
13,Without,-1,"_",66.20,55030.99,4
1,Without,-1,"_",66.28,54963.55,4
28,Without,-1,"_",66.25,54991.06,4
5,Without,-1,"_",66.16,55061.29,4
