repetitions,type_colmet,sampling_period,metrics,time,Mops,nb_nodes
11,Python,0.001,"_",97.03,37542.96,4
7,Python,0.001,"_",93.58,38926.36,4
18,Python,0.1,"_",68.88,52886.14,4
10,Python,0.001,"_",92.33,39455.17,4
7,Python,1,"_",65.77,55389.95,4
16,Python,0.1,"_",71.17,51188.47,4
2,Python,0.001,"_",98.02,37166.05,4
8,Python,0.001,"_",93.29,39050.53,4
24,Python,1,"_",66.39,54874.59,4
11,Python,0.01,"_",90.62,40199.53,4
24,Python,0.01,"_",86.24,42239.56,4
0,Python,0.1,"_",70.61,51588.43,4
15,Python,0.1,"_",70.54,51640.02,4
17,Python,0.001,"_",95.37,38196.64,4
19,Python,0.01,"_",87.50,41633.62,4
12,Python,0.001,"_",99.37,36661.22,4
25,Python,0.1,"_",71.25,51128.86,4
14,Python,0.001,"_",110.49,32969.39,4
14,Python,1,"_",65.61,55519.63,4
29,Python,0.001,"_",95.28,38234.80,4
18,Python,0.01,"_",86.51,42109.78,4
19,Python,1,"_",67.20,54212.67,4
14,Python,0.01,"_",84.30,43211.12,4
27,Python,0.001,"_",94.15,38691.77,4
9,Python,0.1,"_",71.05,51274.40,4
22,Python,0.1,"_",73.59,49499.94,4
3,Python,0.1,"_",72.42,50304.80,4
23,Python,1,"_",67.67,53829.89,4
20,Python,1,"_",66.11,55107.18,4
2,Python,0.1,"_",71.07,51256.32,4
16,Python,0.001,"_",92.54,39365.02,4
20,Python,0.01,"_",87.97,41410.01,4
11,Python,0.1,"_",70.89,51384.91,4
21,Python,0.01,"_",95.85,38008.05,4
24,Python,0.1,"_",71.49,50954.57,4
15,Python,1,"_",66.60,54697.66,4
17,Python,0.1,"_",73.31,49691.32,4
0,Python,0.01,"_",88.65,41091.42,4
15,Python,0.01,"_",89.56,40675.48,4
6,Python,0.1,"_",70.66,51551.85,4
10,Python,0.1,"_",71.62,50860.78,4
8,Python,0.1,"_",69.64,52314.08,4
25,Python,0.001,"_",112.66,32336.10,4
21,Python,0.001,"_",95.66,38080.04,4
28,Python,0.1,"_",71.78,50751.84,4
9,Python,1,"_",67.38,54063.14,4
22,Python,0.001,"_",90.46,40270.49,4
22,Python,1,"_",66.69,54622.91,4
9,Python,0.01,"_",89.70,40614.04,4
12,Python,0.1,"_",70.73,51507.40,4
1,Python,0.1,"_",71.03,51286.34,4
22,Python,0.01,"_",85.03,42842.16,4
29,Python,0.1,"_",73.02,49891.52,4
7,Python,0.01,"_",85.47,42623.67,4
6,Python,1,"_",66.82,54520.39,4
2,Python,1,"_",66.30,54942.62,4
6,Python,0.01,"_",83.81,43467.23,4
2,Python,0.01,"_",84.15,43288.49,4
28,Python,0.001,"_",94.18,38681.98,4
11,Python,1,"_",67.07,54313.00,4
17,Python,1,"_",66.65,54655.54,4
13,Python,0.001,"_",92.10,39552.08,4
1,Python,0.001,"_",104.71,34791.29,4
13,Python,1,"_",66.95,54411.72,4
24,Python,0.001,"_",91.52,39802.69,4
28,Python,1,"_",66.72,54596.79,4
26,Python,0.1,"_",71.14,51204.12,4
13,Python,0.01,"_",91.23,39929.85,4
10,Python,1,"_",66.95,54414.97,4
17,Python,0.01,"_",93.57,38932.93,4
28,Python,0.01,"_",96.26,37844.59,4
20,Python,0.1,"_",71.23,51144.72,4
1,Python,1,"_",66.44,54831.97,4
4,Python,0.1,"_",71.46,50976.44,4
19,Python,0.001,"_",93.75,38858.32,4
27,Python,0.1,"_",73.15,49799.99,4
8,Python,1,"_",66.52,54763.47,4
10,Python,0.01,"_",84.34,43191.52,4
12,Python,1,"_",69.74,52233.30,4
8,Python,0.01,"_",81.14,44894.84,4
1,Python,0.01,"_",90.92,40066.78,4
12,Python,0.01,"_",85.19,42760.68,4
5,Python,0.1,"_",71.18,51178.40,4
18,Python,0.001,"_",105.28,34601.14,4
20,Python,0.001,"_",94.95,38364.92,4
21,Python,0.1,"_",71.25,51126.59,4
18,Python,1,"_",68.26,53371.30,4
29,Python,1,"_",67.40,54050.65,4
16,Python,1,"_",69.46,52445.09,4
4,Python,1,"_",66.63,54673.97,4
27,Python,1,"_",67.54,53935.54,4
29,Python,0.01,"_",88.74,41052.77,4
23,Python,0.1,"_",70.64,51568.58,4
0,Python,0.001,"_",98.91,36831.41,4
0,Python,1,"_",66.33,54923.84,4
16,Python,0.01,"_",84.52,43100.70,4
4,Python,0.01,"_",86.27,42227.83,4
27,Python,0.01,"_",85.61,42552.04,4
7,Python,0.1,"_",70.82,51440.44,4
26,Python,0.001,"_",100.33,36309.34,4
26,Python,1,"_",66.11,55105.71,4
3,Python,0.01,"_",92.76,39272.31,4
26,Python,0.01,"_",90.22,40379.62,4
4,Python,0.001,"_",102.97,35377.51,4
15,Python,0.001,"_",99.22,36716.08,4
25,Python,1,"_",66.04,55158.95,4
21,Python,1,"_",65.90,55279.02,4
9,Python,0.001,"_",95.94,37970.89,4
25,Python,0.01,"_",84.42,43153.84,4
13,Python,0.1,"_",70.03,52019.26,4
3,Python,0.001,"_",95.57,38117.38,4
3,Python,1,"_",65.81,55354.26,4
5,Python,0.001,"_",94.18,38681.62,4
5,Python,1,"_",66.36,54899.68,4
23,Python,0.01,"_",88.52,41154.79,4
14,Python,0.1,"_",70.93,51358.56,4
5,Python,0.01,"_",89.10,40885.79,4
6,Python,0.001,"_",98.51,36980.21,4
19,Python,0.1,"_",70.53,51653.38,4
23,Python,0.001,"_",93.32,39038.29,4
